year,city,country,avg_temp
1743,Cardiff,United Kingdom,7.07
1744,Cardiff,United Kingdom,9.80
1745,Cardiff,United Kingdom,4.05
1746,Cardiff,United Kingdom,
1747,Cardiff,United Kingdom,
1748,Cardiff,United Kingdom,
1749,Cardiff,United Kingdom,
1750,Cardiff,United Kingdom,9.73
1751,Cardiff,United Kingdom,9.51
1752,Cardiff,United Kingdom,6.26
1753,Cardiff,United Kingdom,8.97
1754,Cardiff,United Kingdom,8.82
1755,Cardiff,United Kingdom,8.54
1756,Cardiff,United Kingdom,8.98
1757,Cardiff,United Kingdom,8.92
1758,Cardiff,United Kingdom,8.29
1759,Cardiff,United Kingdom,9.26
1760,Cardiff,United Kingdom,8.69
1761,Cardiff,United Kingdom,9.23
1762,Cardiff,United Kingdom,8.60
1763,Cardiff,United Kingdom,8.29
1764,Cardiff,United Kingdom,8.64
1765,Cardiff,United Kingdom,8.47
1766,Cardiff,United Kingdom,8.58
1767,Cardiff,United Kingdom,8.62
1768,Cardiff,United Kingdom,8.66
1769,Cardiff,United Kingdom,8.60
1770,Cardiff,United Kingdom,8.51
1771,Cardiff,United Kingdom,8.42
1772,Cardiff,United Kingdom,8.82
1773,Cardiff,United Kingdom,8.71
1774,Cardiff,United Kingdom,8.63
1775,Cardiff,United Kingdom,9.53
1776,Cardiff,United Kingdom,8.73
1777,Cardiff,United Kingdom,8.83
1778,Cardiff,United Kingdom,9.30
1779,Cardiff,United Kingdom,10.19
1780,Cardiff,United Kingdom,9.29
1781,Cardiff,United Kingdom,9.91
1782,Cardiff,United Kingdom,7.92
1783,Cardiff,United Kingdom,9.34
1784,Cardiff,United Kingdom,7.93
1785,Cardiff,United Kingdom,8.22
1786,Cardiff,United Kingdom,8.03
1787,Cardiff,United Kingdom,9.11
1788,Cardiff,United Kingdom,9.03
1789,Cardiff,United Kingdom,8.80
1790,Cardiff,United Kingdom,9.27
1791,Cardiff,United Kingdom,9.16
1792,Cardiff,United Kingdom,9.13
1793,Cardiff,United Kingdom,9.13
1794,Cardiff,United Kingdom,9.47
1795,Cardiff,United Kingdom,8.71
1796,Cardiff,United Kingdom,9.02
1797,Cardiff,United Kingdom,9.13
1798,Cardiff,United Kingdom,9.42
1799,Cardiff,United Kingdom,7.61
1800,Cardiff,United Kingdom,8.83
1801,Cardiff,United Kingdom,9.21
1802,Cardiff,United Kingdom,8.93
1803,Cardiff,United Kingdom,8.52
1804,Cardiff,United Kingdom,9.05
1805,Cardiff,United Kingdom,8.43
1806,Cardiff,United Kingdom,9.29
1807,Cardiff,United Kingdom,8.48
1808,Cardiff,United Kingdom,8.45
1809,Cardiff,United Kingdom,8.45
1810,Cardiff,United Kingdom,8.43
1811,Cardiff,United Kingdom,9.40
1812,Cardiff,United Kingdom,8.11
1813,Cardiff,United Kingdom,8.66
1814,Cardiff,United Kingdom,7.52
1815,Cardiff,United Kingdom,8.42
1816,Cardiff,United Kingdom,7.57
1817,Cardiff,United Kingdom,8.46
1818,Cardiff,United Kingdom,9.38
1819,Cardiff,United Kingdom,8.99
1820,Cardiff,United Kingdom,8.32
1821,Cardiff,United Kingdom,9.26
1822,Cardiff,United Kingdom,9.81
1823,Cardiff,United Kingdom,8.39
1824,Cardiff,United Kingdom,9.16
1825,Cardiff,United Kingdom,9.50
1826,Cardiff,United Kingdom,9.63
1827,Cardiff,United Kingdom,9.00
1828,Cardiff,United Kingdom,9.68
1829,Cardiff,United Kingdom,7.70
1830,Cardiff,United Kingdom,8.42
1831,Cardiff,United Kingdom,9.48
1832,Cardiff,United Kingdom,8.89
1833,Cardiff,United Kingdom,8.94
1834,Cardiff,United Kingdom,10.01
1835,Cardiff,United Kingdom,9.06
1836,Cardiff,United Kingdom,8.47
1837,Cardiff,United Kingdom,8.46
1838,Cardiff,United Kingdom,7.75
1839,Cardiff,United Kingdom,8.35
1840,Cardiff,United Kingdom,8.26
1841,Cardiff,United Kingdom,8.52
1842,Cardiff,United Kingdom,8.97
1843,Cardiff,United Kingdom,8.88
1844,Cardiff,United Kingdom,8.51
1845,Cardiff,United Kingdom,8.08
1846,Cardiff,United Kingdom,9.90
1847,Cardiff,United Kingdom,8.89
1848,Cardiff,United Kingdom,8.97
1849,Cardiff,United Kingdom,8.97
1850,Cardiff,United Kingdom,8.74
1851,Cardiff,United Kingdom,8.86
1852,Cardiff,United Kingdom,9.48
1853,Cardiff,United Kingdom,8.16
1854,Cardiff,United Kingdom,8.96
1855,Cardiff,United Kingdom,7.80
1856,Cardiff,United Kingdom,8.76
1857,Cardiff,United Kingdom,9.76
1858,Cardiff,United Kingdom,8.89
1859,Cardiff,United Kingdom,9.40
1860,Cardiff,United Kingdom,7.81
1861,Cardiff,United Kingdom,9.04
1862,Cardiff,United Kingdom,8.97
1863,Cardiff,United Kingdom,9.37
1864,Cardiff,United Kingdom,8.53
1865,Cardiff,United Kingdom,9.40
1866,Cardiff,United Kingdom,9.18
1867,Cardiff,United Kingdom,8.65
1868,Cardiff,United Kingdom,9.91
1869,Cardiff,United Kingdom,9.14
1870,Cardiff,United Kingdom,8.66
1871,Cardiff,United Kingdom,8.74
1872,Cardiff,United Kingdom,9.42
1873,Cardiff,United Kingdom,8.75
1874,Cardiff,United Kingdom,9.00
1875,Cardiff,United Kingdom,9.00
1876,Cardiff,United Kingdom,9.21
1877,Cardiff,United Kingdom,8.93
1878,Cardiff,United Kingdom,9.00
1879,Cardiff,United Kingdom,7.18
1880,Cardiff,United Kingdom,8.83
1881,Cardiff,United Kingdom,8.26
1882,Cardiff,United Kingdom,9.03
1883,Cardiff,United Kingdom,8.67
1884,Cardiff,United Kingdom,9.36
1885,Cardiff,United Kingdom,8.20
1886,Cardiff,United Kingdom,8.34
1887,Cardiff,United Kingdom,8.07
1888,Cardiff,United Kingdom,7.95
1889,Cardiff,United Kingdom,8.63
1890,Cardiff,United Kingdom,8.56
1891,Cardiff,United Kingdom,8.29
1892,Cardiff,United Kingdom,7.93
1893,Cardiff,United Kingdom,9.66
1894,Cardiff,United Kingdom,8.94
1895,Cardiff,United Kingdom,8.34
1896,Cardiff,United Kingdom,9.01
1897,Cardiff,United Kingdom,9.12
1898,Cardiff,United Kingdom,9.67
1899,Cardiff,United Kingdom,9.44
1900,Cardiff,United Kingdom,9.16
1901,Cardiff,United Kingdom,8.75
1902,Cardiff,United Kingdom,8.55
1903,Cardiff,United Kingdom,8.94
1904,Cardiff,United Kingdom,8.73
1905,Cardiff,United Kingdom,8.81
1906,Cardiff,United Kingdom,9.10
1907,Cardiff,United Kingdom,8.57
1908,Cardiff,United Kingdom,9.01
1909,Cardiff,United Kingdom,8.32
1910,Cardiff,United Kingdom,8.88
1911,Cardiff,United Kingdom,9.73
1912,Cardiff,United Kingdom,9.01
1913,Cardiff,United Kingdom,9.41
1914,Cardiff,United Kingdom,9.52
1915,Cardiff,United Kingdom,8.59
1916,Cardiff,United Kingdom,8.82
1917,Cardiff,United Kingdom,8.19
1918,Cardiff,United Kingdom,9.19
1919,Cardiff,United Kingdom,8.15
1920,Cardiff,United Kingdom,9.22
1921,Cardiff,United Kingdom,10.17
1922,Cardiff,United Kingdom,8.37
1923,Cardiff,United Kingdom,8.76
1924,Cardiff,United Kingdom,8.89
1925,Cardiff,United Kingdom,8.82
1926,Cardiff,United Kingdom,9.37
1927,Cardiff,United Kingdom,8.82
1928,Cardiff,United Kingdom,9.24
1929,Cardiff,United Kingdom,8.74
1930,Cardiff,United Kingdom,9.10
1931,Cardiff,United Kingdom,8.71
1932,Cardiff,United Kingdom,9.08
1933,Cardiff,United Kingdom,9.51
1934,Cardiff,United Kingdom,9.65
1935,Cardiff,United Kingdom,9.40
1936,Cardiff,United Kingdom,8.98
1937,Cardiff,United Kingdom,9.21
1938,Cardiff,United Kingdom,9.71
1939,Cardiff,United Kingdom,9.32
1940,Cardiff,United Kingdom,8.81
1941,Cardiff,United Kingdom,8.74
1942,Cardiff,United Kingdom,8.77
1943,Cardiff,United Kingdom,9.71
1944,Cardiff,United Kingdom,9.25
1945,Cardiff,United Kingdom,9.93
1946,Cardiff,United Kingdom,9.10
1947,Cardiff,United Kingdom,9.20
1948,Cardiff,United Kingdom,9.69
1949,Cardiff,United Kingdom,10.26
1950,Cardiff,United Kingdom,9.13
1951,Cardiff,United Kingdom,8.93
1952,Cardiff,United Kingdom,8.88
1953,Cardiff,United Kingdom,9.53
1954,Cardiff,United Kingdom,8.91
1955,Cardiff,United Kingdom,9.01
1956,Cardiff,United Kingdom,8.58
1957,Cardiff,United Kingdom,9.79
1958,Cardiff,United Kingdom,9.17
1959,Cardiff,United Kingdom,10.19
1960,Cardiff,United Kingdom,9.41
1961,Cardiff,United Kingdom,9.58
1962,Cardiff,United Kingdom,8.28
1963,Cardiff,United Kingdom,8.10
1964,Cardiff,United Kingdom,9.15
1965,Cardiff,United Kingdom,8.66
1966,Cardiff,United Kingdom,9.15
1967,Cardiff,United Kingdom,9.31
1968,Cardiff,United Kingdom,9.02
1969,Cardiff,United Kingdom,8.99
1970,Cardiff,United Kingdom,9.29
1971,Cardiff,United Kingdom,9.48
1972,Cardiff,United Kingdom,8.94
1973,Cardiff,United Kingdom,9.37
1974,Cardiff,United Kingdom,9.20
1975,Cardiff,United Kingdom,9.68
1976,Cardiff,United Kingdom,9.67
1977,Cardiff,United Kingdom,9.13
1978,Cardiff,United Kingdom,9.05
1979,Cardiff,United Kingdom,8.51
1980,Cardiff,United Kingdom,9.14
1981,Cardiff,United Kingdom,8.95
1982,Cardiff,United Kingdom,9.59
1983,Cardiff,United Kingdom,9.68
1984,Cardiff,United Kingdom,9.50
1985,Cardiff,United Kingdom,8.54
1986,Cardiff,United Kingdom,8.37
1987,Cardiff,United Kingdom,8.80
1988,Cardiff,United Kingdom,9.44
1989,Cardiff,United Kingdom,10.21
1990,Cardiff,United Kingdom,10.40
1991,Cardiff,United Kingdom,9.24
1992,Cardiff,United Kingdom,9.54
1993,Cardiff,United Kingdom,9.14
1994,Cardiff,United Kingdom,9.86
1995,Cardiff,United Kingdom,10.17
1996,Cardiff,United Kingdom,8.87
1997,Cardiff,United Kingdom,10.17
1998,Cardiff,United Kingdom,10.00
1999,Cardiff,United Kingdom,10.30
2000,Cardiff,United Kingdom,9.97
2001,Cardiff,United Kingdom,9.69
2002,Cardiff,United Kingdom,10.28
2003,Cardiff,United Kingdom,10.25
2004,Cardiff,United Kingdom,10.27
2005,Cardiff,United Kingdom,10.24
2006,Cardiff,United Kingdom,10.58
2007,Cardiff,United Kingdom,10.37
2008,Cardiff,United Kingdom,9.82
2009,Cardiff,United Kingdom,9.90
2010,Cardiff,United Kingdom,8.80
2011,Cardiff,United Kingdom,10.63
2012,Cardiff,United Kingdom,9.55
2013,Cardiff,United Kingdom,9.57
